Litterature survey of corbon footprints in meat production (Europe 2015-2020);;;;;;;;
Beef, pork and broiler;;;;;;;;
;;;;;;;;
;;;;;;;;
Broiler;;;;;;;;
Id;Title;Author;Year;Country/area;Result;Unit;Comments;Full paper link
1;Kariniemen sankarit - hiilijalanjälki;VTT;2020;Finland;2,4;kg CO2e/kg elopaino;;
2;Environmental impact assessment of an Italian vertically integrated broiler system through a Life Cycle approach;V. Cesari et al.;2017;Italy;3,03;kgCO2e/kg elopaino;"Light broilers 1.6kg LW; result at the point of fattening farm gate; transport to slaughterhouse excluded; Purchased feeds accounted for ca. 80% of the GWP (dLUC for brazilian soybean included); CML-IA method";https://www.sciencedirect.com/science/article/pii/S0959652616320856
3;Environmental impact assessment of an Italian vertically integrated broiler system through a Life Cycle approach;V. Cesari et al.;2017;Italy;3,25;kgCO2e/kg elopaino;"Medium broilers 2.5 kg LW; result at the point of fattening farm gate; transport to slaughterhouse excluded; Purchased feeds accounted for ca. 80% of the GWP  (dLUC for brazilian soybean included); CML-IA method";https://www.sciencedirect.com/science/article/pii/S0959652616320856
4;Life Cycle Assessment of broiler chicken production: a Portuguese case study;S. González-García et al.;2014;Portugal;1,62;kgCO2e/kg elopaino;"Excluded chick production; Emission credits given for replacement of commercial fertilizers by organic fertilizers; No allocation; transport to slaughterhouse excluded; Feed production major contributor to GWP; CML 2001 method";https://www.sciencedirect.com/science/article/pii/S095965261400300X
5;Environmental impacts of French and Brazilian broiler chicken production scenarios: An LCA approach;V. Prudêncio da Silva et al.;2014;France;2,22;kgCO2e/kg elopaino;"Transport to slaughterhouse excluded; CML-IA method";https://www.sciencedirect.com/science/article/pii/S0301479713007512
6;Environmental impacts of French and Brazilian broiler chicken production scenarios: An LCA approach;V. Prudêncio da Silva et al.;2014;France;2,7;kgCO2e/kg elopaino;"Slow growth chicken (Label Rouge) slaugher age > 81 days; Transport to slaughterhouse excluded; CML-IA method";https://www.sciencedirect.com/science/article/pii/S0301479713007512
7;Predicting the environmental impacts of chicken systems in the United Kingdom through a life cycle assessment: Broiler production systems;I. Leinonen et al.;2012;UK;2,70;kgCO2e/kg elopaino;Standard farming. Converted from edible carcass weight to liveweight (based on D. Murawska et al. 2011). Older GWP100 values used (IPCC2006);https://pubmed.ncbi.nlm.nih.gov/22184424/
8;Predicting the environmental impacts of chicken systems in the United Kingdom through a life cycle assessment: Broiler production systems;I. Leinonen et al.;2012;UK;3,14;kgCO2e/kg elopaino;Free range farming. Converted from edible carcass weight to liveweight (based on D. Murawska et al. 2011). Older GWP100 values used (IPCC2006);https://pubmed.ncbi.nlm.nih.gov/22184424/
9;Predicting the environmental impacts of chicken systems in the United Kingdom through a life cycle assessment: Broiler production systems;I. Leinonen et al.;2012;UK;3,46;kgCO2e/kg elopaino;Organic farming. Converted from edible carcass weight to liveweight (based on D. Murawska et al. 2011). Older GWP100 values used (IPCC2006);https://pubmed.ncbi.nlm.nih.gov/22184424/
;;;;;;;;
